DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Duration,NbErrors
Design 1,9,361,1,1,Low,Saturation,847,0
Design 1,9,362,1,2,Low,Hue_Saturation,805,0
Design 1,9,363,1,2,Low,Hue_Saturation,930,0
Design 1,9,364,1,3,Low,Hue,784,0
Design 1,9,365,1,4,Low,Hue_Saturation,2087,1
Design 1,9,366,1,5,Low,Saturation,755,0
Design 1,9,367,1,6,Low,Hue,719,0
Design 1,9,368,1,7,Low,Hue_Saturation,1340,0
Design 1,9,369,1,8,Low,Hue,879,0
Design 1,9,370,1,9,Low,Hue_Saturation,1100,0
Design 1,9,371,1,10,Low,Saturation,715,0
Design 1,9,372,1,10,Low,Saturation,627,0
Design 1,9,373,1,11,Low,Hue,600,0
Design 1,9,374,1,12,Low,Saturation,714,0
Design 1,9,375,1,13,Low,Hue,783,0
Design 1,9,376,2,1,High,Saturation,808,0
Design 1,9,377,2,2,High,Hue_Saturation,1650,0
Design 1,9,378,2,2,High,Hue_Saturation,1424,0
Design 1,9,379,2,3,High,Hue,1016,0
Design 1,9,380,2,4,High,Hue_Saturation,941,0
Design 1,9,381,2,5,High,Saturation,798,0
Design 1,9,382,2,6,High,Hue,620,0
Design 1,9,383,2,7,High,Hue_Saturation,2537,0
Design 1,9,384,2,8,High,Hue,1176,0
Design 1,9,385,2,9,High,Hue_Saturation,1677,0
Design 1,9,386,2,10,High,Saturation,688,0
Design 1,9,387,2,10,High,Saturation,1522,0
Design 1,9,388,2,11,High,Hue,1332,0
Design 1,9,389,2,12,High,Saturation,618,0
Design 1,9,390,2,13,High,Hue,529,0
Design 1,9,391,3,1,Medium,Saturation,694,0
Design 1,9,392,3,2,Medium,Hue_Saturation,919,1
Design 1,9,393,3,2,Medium,Hue_Saturation,1539,0
Design 1,9,394,3,3,Medium,Hue,768,0
Design 1,9,395,3,4,Medium,Hue_Saturation,1178,0
Design 1,9,396,3,5,Medium,Saturation,822,0
Design 1,9,397,3,6,Medium,Hue,642,0
Design 1,9,398,3,7,Medium,Hue_Saturation,1058,0
Design 1,9,399,3,8,Medium,Hue,622,0
Design 1,9,400,3,9,Medium,Hue_Saturation,880,0
Design 1,9,401,3,10,Medium,Saturation,605,0
Design 1,9,402,3,10,Medium,Saturation,654,0
Design 1,9,403,3,11,Medium,Hue,669,0
Design 1,9,404,3,12,Medium,Saturation,701,0
Design 1,9,405,3,13,Medium,Hue,778,0
